"Plot" "Coupe" "ACD" "FACE" "LoggingMethod" "LoggingYear" "Forest" "YearsSinceLogging" "MeasureTime" "Dataset"
"129" "FACE_66" "1981" 108.609499835164 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"130" "FACE_66" "1981" 120.03543548286 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"131" "FACE_67" "1981" 91.305646738185 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"132" "FACE_67" "1981" 84.8537429700011 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"133" "FACE_68" "1988" 115.159081877338 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"134" "FACE_68" "1988" 103.303908832413 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"135" "FACE_69" "1988" 93.2965765929315 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"136" "FACE_69" "1988" 115.8764061904 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"137" "FACE_70" "1988" 60.6500542981007 "ProjectScenario" "Tractor" 1988 "Logged" 19 2007 "FACE"
"138" "FACE_70" "1988" 66.294829169328 "ProjectScenario" "Tractor" 1988 "Logged" 22 2010 "FACE"
"139" "FACE_71" "1982" 46.8410973671193 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"140" "FACE_71" "1982" 38.5917993611369 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"141" "FACE_72" "1982" 76.9831127971384 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"142" "FACE_72" "1982" 69.4113780573081 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"143" "FACE_73" "1981" 57.1862475125603 "ProjectScenario" "High_lead" 1981 "Logged" 29 2010 "FACE"
"144" "FACE_73" "1981" 49.7021739596895 "ProjectScenario" "High_lead" 1981 "Logged" 26 2007 "FACE"
"145" "FACE_74" "1981" 25.5309523443145 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"146" "FACE_74" "1981" 22.8077009559742 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"147" "FACE_75" "1982" 55.2220996097118 "ProjectScenario" "Tractor" 1982 "Logged" 25 2007 "FACE"
"148" "FACE_75" "1982" 60.411262061571 "ProjectScenario" "Tractor" 1982 "Logged" 28 2010 "FACE"
"149" "FACE_76" "1982" 124.698283198658 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"150" "FACE_76" "1982" 102.745069798866 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
"151" "FACE_78" "1983" 63.933628533953 "ProjectScenario" "High_lead" 1983 "Logged" 27 2010 "FACE"
"152" "FACE_78" "1983" 70.8254784020005 "ProjectScenario" "High_lead" 1983 "Logged" 24 2007 "FACE"
"153" "FACE_79" "1981" 75.3639482643019 "ProjectScenario" "Tractor" 1981 "Logged" 29 2010 "FACE"
"154" "FACE_79" "1981" 76.7701329717025 "ProjectScenario" "Tractor" 1981 "Logged" 26 2007 "FACE"
"155" "FACE_80" "1982" 158.341627575352 "ProjectScenario" "High_lead" 1982 "Logged" 28 2010 "FACE"
"156" "FACE_80" "1982" 172.391521359246 "ProjectScenario" "High_lead" 1982 "Logged" 25 2007 "FACE"
